date,ebene1,ebene2,ebene3,bestand,fluss
2022-10-01,Einlagen,Termineinlagen,Termineinlagen,,33.5
2023-01-01,Einlagen,Termineinlagen,Termineinlagen,,50.4
2023-04-01,Einlagen,Termineinlagen,Termineinlagen,,43.2
2023-07-01,Einlagen,Termineinlagen,Termineinlagen,,42.5
2023-10-01,Einlagen,Termineinlagen,Termineinlagen,,48.3
2024-01-01,Einlagen,Termineinlagen,Termineinlagen,,60.3
2024-04-01,Einlagen,Termineinlagen,Termineinlagen,,36.0
2024-07-01,Einlagen,Termineinlagen,Termineinlagen,,21.9
2024-10-01,Einlagen,Termineinlagen,Termineinlagen,,-1.1
2000-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-9.8
2000-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-12.4
2000-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-6.1
2000-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-10.6
2001-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-2.5
2001-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.9
2001-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,1.5
2001-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,5.7
2002-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.5
2002-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-7.7
2002-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,3.0
2002-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,5.5
2003-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,7.5
2003-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.4
2003-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,4.4
2003-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,2.1
2004-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,3.6
2004-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,1.6
2004-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,3.8
2004-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,2.9
2005-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,3.4
2005-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.4
2005-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.4
2005-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-3.4
2006-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,1.2
2006-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.9
2006-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-5.0
2006-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-9.6
2007-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-4.4
2007-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-7.5
2007-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-7.4
2007-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-9.4
2008-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-7.7
2008-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-6.3
2008-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-10.3
2008-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,5.0
2009-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,14.6
2009-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,13.7
2009-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,16.9
2009-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,9.2
2010-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,11.3
2010-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,1.0
2010-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,3.6
2010-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,6.1
2011-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,7.4
2011-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-3.6
2011-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.5
2011-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-3.5
2012-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,5.2
2012-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.8
2012-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-1.1
2012-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-3.4
2013-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-2.2
