GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
08426065,Kirchberg an der Iller,1362.0,93.28,4.56,117.81,1.49,72.16,64.17,79.91,100.0,96.6,85.2,6.31,9.82,13.11,15.3022034,3.61,11.69,17.01,6.32,5.43,2.2,5.72,8.43,10.24
08426066,Kirchdorf an der Iller,3752.0,84.06,5.03,175.32,1.99,76.48,65.86,85.82,100.0,100.0,100.0,3.57,10.38,4.53,15.1963636,3.88,4.41,16.44,6.07,3.89,3.8,3.93,10.36,13.64
08426067,Langenenslingen,1553.0,80.05,1.54,40.96,0.77,72.2,64.89,79.22,100.0,88.8,86.3,5.66,13.15,19.72,14.8916102,6.55,12.9,13.27,10.73,11.9,5.9,11.76,12.92,13.78
08426070,"Laupheim, Stadt",1864.0,95.89,70.29,370.01,0.66,73.17,67.51,78.63,100.0,98.9,95.2,3.67,5.91,5.47,6.43377193,2.64,5.05,5.58,4.28,5.66,3.4,4.36,5.78,6.62
08426071,Maselheim,1400.0,91.69,55.68,99.66,0.75,75.74,70.63,80.52,100.0,98.5,74.5,3.7,10.71,5.11,12.5472222,3.5,7.64,11.32,3.95,10.21,4.0,8.65,8.17,10.83
08426073,Mietingen,1408.0,94.34,92.95,173.72,0.77,78.13,72.35,83.51,100.0,99.8,96.3,3.13,7.95,6.98,11.0125333,2.61,3.36,8.89,6.93,8.7,3.4,8.2,6.91,9.61
08426074,Mittelbiberach,1207.0,92.28,58.12,187.54,0.08,71.97,68.65,75.2,100.0,100.0,99.4,2.7,9.52,9.0,7.21225,3.2,7.15,6.94,5.07,7.97,2.7,2.75,10.4,6.68
08426078,Moosburg,1065.0,94.17,18.45,114.59,0.58,78.81,68.85,89.47,100.0,100.0,100.0,8.1,4.6,8.25,14.7553846,4.58,9.95,15.32,7.82,14.59,7.4,8.01,11.29,4.54
08426087,"Ochsenhausen, Stadt",1980.0,93.51,50.26,154.45,0.92,73.93,68.4,78.9,100.0,98.9,68.3,3.41,12.31,7.14,19.8617703,3.42,6.89,6.55,4.49,5.56,5.1,5.42,9.74,7.69
08426090,Oggelshausen,1816.0,89.51,8.95,75.9,1.28,71.19,68.01,74.2,100.0,99.8,96.5,5.45,6.16,4.72,13.1435294,1.45,4.83,15.76,3.21,14.6,4.9,5.75,11.27,11.71
